soc_code,raw_aei_score,mean_importance,std_importance,high_importance_count,mean_level,weighted_exposure_index,aei_score,risk_band,aioe_title,aioe_target,occupation_title,description
11-9071,0.5993133639704478,0.3576923076923077,0.2420155592520041,10,0.3457692307692308,0.5993133639704478,0.6788199159836554,Red,Gaming Managers,0.8299207,Gambling Managers,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules."
11-9081,0.5755197022113666,0.4019230769230769,0.2133363675783464,11,0.3838782051282051,0.5755197022113666,0.5608304148272273,Yellow,Lodging Managers,0.4021726,Lodging Managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations."
11-9111,0.6382789866371034,0.3119711538461538,0.2898522005629619,12,0.3080128205128205,0.6382789866371034,0.8720450877642704,Red,Medical and Health Services Managers,1.260259,Medical and Health Services Managers,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations."
11-9121,0.635933501447389,0.3235576923076923,0.2787539724889837,99,0.3272008547008547,0.635933501447389,0.860414148806396,Red,Natural Sciences Managers,1.327906,Natural Sciences Managers,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields."
11-9131,0.6027577187989489,0.3437980769230769,0.2517018010720144,12,0.303301282051282,0.6027577187989489,0.6958999985760491,Red,Postmasters and Mail Superintendents,0.8233757,Postmasters and Mail Superintendents,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office."
11-9141,0.6442721086742647,0.2683653846153846,0.2636977271940358,9,0.2679487179487179,0.6442721086742647,0.9017641569304266,Red,"Property, Real Estate, and Community Association Managers",1.215396,"Property, Real Estate, and Community Association Managers","Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way)."
11-9151,0.62482645338355,0.3264903846153846,0.2778309101083137,12,0.3252884615384615,0.62482645338355,0.8053358227529183,Red,Social and Community Service Managers,1.156153,Social and Community Service Managers,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers."
11-9161,0.6082360403148407,0.3809134615384615,0.2572812362398706,14,0.3729166666666667,0.6082360403148407,0.7230662426531255,Red,Emergency Management Directors,1.030768,Emergency Management Directors,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations."
11-9199,0.6119761390310937,0.3379487179487179,0.2626290607643208,402,0.3394284188034188,0.6119761390310937,0.7416128785713262,Red,"Managers, All Other",0.9646872,"Managers, All Other",All managers not listed separately.
13-1011,0.6426690279766705,0.2655769230769231,0.2758505631361005,10,0.26125,0.6426690279766705,0.8938146998969606,Red,"Agents and Business Managers of Artists, Performers, and Athletes",1.068559,"Agents and Business Managers of Artists, Performers, and Athletes","Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients."
13-1021,0.6007913248757901,0.3058653846153846,0.2331833645940005,5,0.3100961538461538,0.6007913248757901,0.6861489211496422,Red,"Purchasing Agents and Buyers, Farm Products",0.7687054,"Buyers and Purchasing Agents, Farm Products","Purchase farm products either for further processing or resale. Includes tree farm contractors, grain brokers and market operators, grain buyers, and tobacco buyers. May negotiate contracts."
13-1022,0.5982049379150038,0.3105288461538462,0.2429432156170013,8,0.3124679487179487,0.5982049379150038,0.6733233833912855,Red,"Wholesale and Retail Buyers, Except Farm Products",0.8188258,"Wholesale and Retail Buyers, Except Farm Products","Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. May negotiate contracts. Includes assistant wholesale and retail buyers of nonfarm products."
13-1023,0.6523925242468835,0.2841826923076923,0.288037954144768,11,0.270801282051282,0.6523925242468835,0.9420321826045543,Red,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.509181,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semifinished materials for manufacturing. May negotiate contracts."
13-1031,0.6340964854612386,0.3185096153846153,0.2804641022498771,11,0.3088782051282051,0.6340964854612386,0.8513046388025588,Red,"Claims Adjusters, Examiners, and Investigators",1.274024,"Claims Adjusters, Examiners, and Investigators",Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims.
13-1032,0.5884911931778061,0.3328846153846153,0.1999536616756397,7,0.3301602564102564,0.5884911931778061,0.625154257196768,Yellow,"Insurance Appraisers, Auto Damage",0.6634955,"Insurance Appraisers, Auto Damage",Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs.
13-1041,0.6042153821026793,0.3624725274725275,0.2559477012711632,588,0.3592032967032967,0.6042153821026793,0.7031283507230465,Red,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",0.6981205,Compliance Officers,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere."
13-1051,0.6511939925961103,0.2877884615384615,0.2900497142336095,11,0.2871794871794871,0.6511939925961103,0.9360888287388572,Red,Cost Estimators,1.367669,Cost Estimators,"Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured."
13-1071,0.6429229277723061,0.2645673076923077,0.2684093126296754,9,0.2632692307692307,0.6429229277723061,0.8950737541162773,Red,"Employment, Recruitment, and Placement Specialists",1.36005,Human Resources Specialists,"Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas."
13-1074,0.5438375089293813,0.329951923076923,0.1412284083658899,2,0.3621474358974359,0.5438375089293813,0.4037227691553177,Yellow,Farm Labor Contractors,-0.4354025,Farm Labor Contractors,"Recruit and hire seasonal or temporary agricultural laborers. May transport, house, and provide meals for workers."
13-1075,0.6550254589196851,0.2824038461538461,0.2927100224451137,12,0.2845192307692307,0.6550254589196851,0.9550885440745476,Red,Labor Relations Specialists,1.334834,Labor Relations Specialists,"Resolve disputes between workers and managers, negotiate collective bargaining agreements, or coordinate grievance procedures to handle employee complaints."
13-1081,0.647594581526536,0.3174679487179487,0.2980489268259133,117,0.3136111111111111,0.647594581526536,0.9182398435403556,Red,Logisticians,1.297303,Logisticians,"Analyze and coordinate the ongoing logistical functions of a firm or organization. Responsible for the entire life cycle of a product, including acquisition, distribution, internal allocation, delivery, and final disposal of resources."
13-1111,0.6508282214488397,0.3028365384615384,0.3005309961038218,11,0.2936217948717948,0.6508282214488397,0.9342750198497146,Red,Management Analysts,1.432417,Management Analysts,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants."
13-1121,0.5777944674844262,0.37625,0.2378016660011893,13,0.3645192307692308,0.5777944674844262,0.5721106634301489,Yellow,Meeting and Convention Planners,0.3740207,"Meeting, Convention, and Event Planners","Coordinate activities of staff, convention personnel, or clients to make arrangements for group meetings, events, or conventions."
13-1131,0.64669296937366,0.2847596153846154,0.2886913761961816,11,0.2771474358974359,0.64669296937366,0.9137688726897336,Red,Fundraisers,1.242567,Fundraisers,"Organize activities to raise funds or otherwise solicit and gather monetary donations or other gifts for an organization. May design and produce promotional materials. May also raise awareness of the organization's work, goals, and financial needs."
13-1141,0.6449218991440681,0.2703365384615385,0.2616028220067599,7,0.2759294871794872,0.6449218991440681,0.9049863786365514,Red,"Compensation, Benefits, and Job Analysis Specialists",1.440985,"Compensation, Benefits, and Job Analysis Specialists","Conduct programs of compensation and benefits and job analysis for employer. May specialize in specific areas, such as position classification and pension programs."
13-1151,0.6453147515832431,0.2984615384615384,0.2932517797641502,12,0.2932051282051282,0.6453147515832431,0.9069344799332618,Red,Training and Development Specialists,1.198409,Training and Development Specialists,Design or conduct work-related training and development programs to improve individual skills or organizational performance. May analyze organizational training needs or evaluate training effectiveness.
13-1161,0.6528756391386734,0.2954326923076923,0.2924425378768727,48,0.2945032051282051,0.6528756391386734,0.94442788300833,Red,Market Research Analysts and Marketing Specialists,1.426757,Market Research Analysts and Marketing Specialists,"Research conditions in local, regional, national, or online markets. Gather information to determine potential sales of a product or service, or plan a marketing or advertising campaign. May gather information on competitors, prices, sales, and methods of marketing and distribution. May employ search marketing tactics, analyze web metrics, and develop recommendations to increase search engine ranking and visibility to target markets."
13-1199,0.6253785583079017,0.3146153846153846,0.2707176737350841,168,0.3100961538461538,0.6253785583079017,0.8080736352539889,Red,"Business Operations Specialists, All Other",1.047687,"Business Operations Specialists, All Other",All business operations specialists not listed separately.
13-2011,0.6492480353409801,0.2861538461538461,0.2769881171525966,9,0.2944871794871794,0.6492480353409801,0.9264390939427024,Red,Accountants and Auditors,1.481956,Accountants and Auditors,"Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data."
13-2031,0.6434323203222053,0.2921153846153846,0.276994719553701,11,0.2811858974358974,0.6434323203222053,0.8975997618179911,Red,Budget Analysts,1.502988,Budget Analysts,"Examine budget estimates for completeness, accuracy, and conformance with procedures and regulations. Analyze budgeting and accounting reports."
13-2041,0.6499015110596845,0.2788942307692307,0.2760387749215334,10,0.2907692307692308,0.6499015110596845,0.929679590292044,Red,Credit Analysts,1.345268,Credit Analysts,Analyze credit data and financial statements of individuals or firms to determine the degree of risk involved in extending credit or lending money. Prepare reports with credit information for use in decisionmaking.
13-2052,0.6554300068838896,0.2848076923076923,0.2922058795063842,12,0.2800320512820513,0.6554300068838896,0.9570946418737704,Red,Personal Financial Advisors,1.400749,Personal Financial Advisors,"Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate. Duties include assessing clients' assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives. May also buy and sell financial assets for clients."
13-2053,0.6401115699860888,0.2682211538461538,0.2486060828815365,6,0.2665064102564102,0.6401115699860888,0.8811326169291261,Red,Insurance Underwriters,1.326652,Insurance Underwriters,Review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.
13-2061,0.6573115979138998,0.3070192307692307,0.3102315858803356,13,0.3080769230769231,0.6573115979138998,0.9664251933987612,Red,Financial Examiners,1.526064,Financial Examiners,"Enforce or ensure compliance with laws and regulations governing financial and securities institutions and financial and real estate transactions. May examine, verify, or authenticate records."
13-2071,0.6443753275061976,0.2734134615384615,0.2667689887236625,7,0.2687820512820513,0.6443753275061976,0.9022760049432728,Red,Loan Counselors,1.385381,Credit Counselors,"Advise and educate individuals or organizations on acquiring and managing debt. May provide guidance in determining the best type of loan and explain loan requirements or restrictions. May help develop debt management plans or student financial aid packages. May advise on credit issues, or provide budget, mortgage, bankruptcy, or student financial aid counseling."
13-2072,0.63846472835807,0.2824519230769231,0.2726146504560752,10,0.2670833333333333,0.63846472835807,0.8729661554512322,Red,Loan Officers,1.385739,Loan Officers,"Evaluate, authorize, or recommend approval of commercial, real estate, or credit loans. Advise borrowers on financial status and payment methods. Includes mortgage loan officers and agents, collection analysts, loan servicing officers, loan underwriters, and payday loan officers."
13-2081,0.6384557037093022,0.3040865384615384,0.2811347928948285,11,0.2875320512820513,0.6384557037093022,0.8729214034573185,Red,"Tax Examiners, Collectors, and Revenue Agents",1.36682,"Tax Examiners and Collectors, and Revenue Agents",Determine tax liability or collect taxes from individuals or business firms according to prescribed laws and regulations.
13-2082,0.6472537008828051,0.2572115384615384,0.2582570984191165,5,0.2511858974358975,0.6472537008828051,0.9165494632401336,Red,Tax Preparers,1.29371,Tax Preparers,Prepare tax returns for individuals or small businesses.
13-2099,0.6431411226767809,0.3046634615384615,0.2856996365590773,48,0.3026923076923077,0.6431411226767809,0.8961557526835653,Red,"Financial Specialists, All Other",1.361362,"Financial Specialists, All Other",All financial specialists not listed separately.
15-2011,0.656418206321001,0.3112980769230769,0.3133232256340399,13,0.318076923076923,0.656418206321001,0.961994987176163,Red,Actuaries,1.516474,Actuaries,"Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits."
15-2021,0.6586621872464752,0.3100480769230769,0.3275830572663883,14,0.3233974358974359,0.6586621872464752,0.973122580426924,Red,Mathematicians,1.472319,Mathematicians,"Conduct research in fundamental mathematics or in application of mathematical techniques to science, management, and other fields. Solve problems in various fields using mathematical methods."
15-2031,0.6569267050733196,0.3009615384615384,0.3159300593695905,14,0.2967948717948718,0.6569267050733196,0.9645165626584168,Red,Operations Research Analysts,1.40002,Operations Research Analysts,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation."
15-2041,0.650676155780578,0.3124759615384616,0.3089346848704095,54,0.3189262820512821,0.650676155780578,0.933520947083493,Red,Statisticians,1.382724,Statisticians,"Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as biostatistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians."
17-1011,0.627816086973578,0.3683173076923077,0.3053620966765964,17,0.3773717948717949,0.627816086973578,0.8201610051691253,Red,"Architects, Except Landscape and Naval",1.047142,"Architects, Except Landscape and Naval","Plan and design structures, such as private residences, office buildings, theaters, factories, and other structural property."
17-1012,0.621991258136182,0.3479807692307692,0.3029168002244514,15,0.3341346153846153,0.621991258136182,0.7912764788694422,Red,Landscape Architects,1.034388,Landscape Architects,"Plan and design land areas for projects such as parks and other recreational facilities, airports, highways, hospitals, schools, land subdivisions, and commercial, industrial, and residential sites."
17-1021,0.6095428242852633,0.32875,0.2533600185893738,7,0.3365064102564102,0.6095428242852633,0.7295464049060219,Red,Cartographers and Photogrammetrists,0.8169979,Cartographers and Photogrammetrists,"Research, study, and prepare maps and other spatial data in digital or graphic form for one or more purposes, such as legal, social, political, educational, and design purposes. May work with Geographic Information Systems (GIS). May design and evaluate algorithms, data structures, and user interfaces for GIS and mapping systems. May collect, analyze, and interpret geographic information provided by geodetic surveys, aerial photographs, and satellite data."
17-1022,0.5685488829433714,0.4293028846153846,0.2135753430089655,54,0.4379967948717949,0.5685488829433714,0.5262630793573739,Yellow,Surveyors,0.1460606,Surveyors,"Make exact measurements and determine property boundaries. Provide data relevant to the shape, contour, gravitation, location, elevation, or dimension of land or land features on or near the earth's surface for engineering, mapmaking, mining, land evaluation, construction, and other purposes."
17-2011,0.649015891215275,0.3275480769230769,0.3070481258123174,13,0.3351923076923077,0.649015891215275,0.9252879231029352,Red,Aerospace Engineers,1.338738,Aerospace Engineers,"Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft. May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture. May recommend improvements in testing equipment and techniques."
17-2021,0.597106233346971,0.3925480769230769,0.2343637038504548,14,0.3895192307692307,0.597106233346971,0.6678750583199665,Red,Agricultural Engineers,0.9409636,Agricultural Engineers,"Apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products."
17-2031,0.621990621982075,0.3561538461538461,0.2893207314922169,15,0.3682051282051282,0.621990621982075,0.7912733242685869,Red,Biomedical Engineers,0.9874239,Bioengineers and Biomedical Engineers,"Apply knowledge of engineering, biology, chemistry, computer science, and biomechanical principles to the design, development, and evaluation of biological, agricultural, and health systems and products, such as artificial organs, prostheses, instrumentation, medical information systems, and health management and care delivery systems."
17-2041,0.6412576725720526,0.3382211538461538,0.2934210555128079,14,0.3569230769230769,0.6412576725720526,0.8868159822623478,Red,Chemical Engineers,1.341336,Chemical Engineers,"Design chemical plant equipment and devise processes for manufacturing chemicals and products, such as gasoline, synthetic rubber, plastics, detergents, cement, paper, and pulp, by applying principles and technology of chemistry, physics, and engineering."
17-2051,0.6454330570370366,0.3413141025641026,0.3060231087652308,150,0.347318376068376,0.6454330570370366,0.907521140432117,Red,Civil Engineers,1.282867,Civil Engineers,"Perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures and facilities, such as roads, railroads, airports, bridges, harbors, channels, dams, irrigation projects, pipelines, power plants, and water and sewage systems."
17-2061,0.6278258541002091,0.3214423076923077,0.2814381597843573,11,0.3308653846153845,0.6278258541002091,0.8202094390088006,Red,Computer Hardware Engineers,1.141812,Computer Hardware Engineers,"Research, design, develop, or test computer or computer-related equipment for commercial, industrial, military, or scientific use. May supervise the manufacturing and installation of computer or computer-related equipment and components."
17-2071,0.6250264532147282,0.3422596153846153,0.286955904421223,12,0.3511858974358974,0.6250264532147282,0.8063275944503986,Red,Electrical Engineers,1.126725,Electrical Engineers,"Research, design, develop, test, or supervise the manufacturing and installation of electrical equipment, components, or systems for commercial, industrial, military, or scientific use."
17-2072,0.6041324153437352,0.3494711538461538,0.2627165941194339,44,0.3591025641025641,0.6041324153437352,0.7027169299589999,Red,"Electronics Engineers, Except Computer",0.6654578,"Electronics Engineers, Except Computer","Research, design, develop, or test electronic components and systems for commercial, industrial, military, or scientific use employing knowledge of electronic theory and materials properties. Design electronic circuits and components for use in fields such as telecommunications, aerospace guidance and propulsion control, acoustics, or instruments and controls."
17-2081,0.6512895429501097,0.3111538461538461,0.301680530584817,13,0.3181730769230769,0.6512895429501097,0.936562649822718,Red,Environmental Engineers,1.343561,Environmental Engineers,"Research, design, plan, or perform engineering duties in the prevention, control, and remediation of environmental hazards using various engineering disciplines. Work may include waste treatment, site remediation, or pollution control technology."
17-2111,0.6181498467823257,0.3633413461538461,0.2691273719639236,54,0.3525,0.6181498467823257,0.7722274474943048,Red,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.9948935,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Promote worksite or product safety by applying knowledge of industrial processes, mechanics, chemistry, psychology, and industrial health and safety laws. Includes industrial product safety engineers."
17-2112,0.6118147118229565,0.3615625,0.2681395517146667,208,0.3697355769230769,0.6118147118229565,0.740812383214452,Red,Industrial Engineers,1.13787,Industrial Engineers,"Design, develop, test, and evaluate integrated systems for managing industrial production processes, including human work factors, quality control, inventory control, logistics and material flow, cost analysis, and production coordination."
17-2121,0.5675327012316278,0.4590865384615384,0.2046500054170402,16,0.4649999999999999,0.5675327012316278,0.5212239737977958,Yellow,Marine Engineers and Naval Architects,0.5472173,Marine Engineers and Naval Architects,"Design, develop, and evaluate the operation of marine vessels, ship machinery, and related equipment, such as power supply and propulsion systems."
17-2131,0.6152436344815229,0.359375,0.2751442914680422,12,0.3737499999999999,0.6152436344815229,0.757815939795389,Red,Materials Engineers,1.037278,Materials Engineers,"Evaluate materials and develop machinery and processes to manufacture materials for use in products that must meet specialized design and performance specifications. Develop new uses for known materials. Includes those engineers working with composite materials or specializing in one type of material, such as graphite, metal and metal alloys, ceramics and glass, plastics and polymers, and naturally occurring materials. Includes metallurgists and metallurgical engineers, ceramic engineers, and welding engineers."
17-2141,0.6202477305491945,0.3698557692307692,0.2739749105974491,132,0.3809508547008547,0.6202477305491945,0.7826305649985934,Red,Mechanical Engineers,1.004709,Mechanical Engineers,"Perform engineering duties in planning and designing tools, engines, machines, and other mechanically functioning equipment. Oversee installation, operation, maintenance, and repair of equipment such as centralized heat, gas, water, and steam systems."
17-2151,0.6423407902115205,0.3563942307692307,0.3034585822522308,16,0.3622115384615385,0.6423407902115205,0.8921870138954158,Red,"Mining and Geological Engineers, Including Mining Safety Engineers",1.34695,"Mining and Geological Engineers, Including Mining Safety Engineers","Conduct subsurface surveys to identify the characteristics of potential land or mining development sites. May specify the ground support systems, processes, and equipment for safe, economical, and environmentally sound extraction or underground construction activities. May inspect areas for unsafe geological conditions, equipment, and working conditions. May design, implement, and coordinate mine safety programs."
17-2161,0.6417518561280547,0.3520673076923077,0.3087997483751094,16,0.3465064102564102,0.6417518561280547,0.8892665706519282,Red,Nuclear Engineers,1.303009,Nuclear Engineers,"Conduct research on nuclear engineering projects or apply principles and theory of nuclear science to problems concerned with release, control, and use of nuclear energy and nuclear waste disposal."
17-2171,0.6474891183981708,0.3238461538461538,0.2987799790268249,13,0.320448717948718,0.6474891183981708,0.9177168663697038,Red,Petroleum Engineers,1.247779,Petroleum Engineers,Devise methods to improve oil and gas extraction and production and determine the need for new or modified tool designs. Oversee drilling and offer technical advice.
17-2199,0.6070939230248785,0.3688161057692308,0.2641950108236964,816,0.3881410256410256,0.6070939230248785,0.7174026398554882,Red,"Engineers, All Other",0.787566,"Engineers, All Other",All engineers not listed separately.
