soc_code,task_id,task_description,task_importance,importance_norm,automation_score,automation_level
11-1021,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",4.18,1.0,1.0,High
11-1021,933,"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",4.14,0.9459459459459458,0.9459459459459457,High
11-1021,20700,Direct administrative activities directly related to making products or providing services.,4.01,0.7702702702702703,0.7702702702702702,High
11-1021,20701,Prepare staff work schedules and assign specific duties.,3.98,0.72972972972973,0.72972972972973,High
11-1021,20703,"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",3.9,0.6216216216216218,0.6216216216216219,Moderate
11-1021,20706,"Plan or direct activities, such as sales promotions, that require coordination with other department managers.",3.83,0.5270270270270273,0.5270270270270271,Moderate
11-1021,20705,"Perform personnel functions, such as selection, training, or evaluation.",3.79,0.47297297297297325,0.4729729729729733,Moderate
11-1021,20704,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",3.74,0.40540540540540587,0.4054054054054058,Moderate
11-1021,20702,Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,3.44,0.0,0.0,Low
11-2011,3224,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",4.13,1.0,1.0,High
11-2011,3226,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",4.07,0.9318181818181822,0.9318181818181821,High
11-2011,3231,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",3.9,0.7386363636363636,0.7386363636363639,High
11-2011,3242,Coordinate with the media to disseminate advertising.,3.87,0.7045454545454547,0.7045454545454546,High
11-2011,3227,"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.",3.84,0.6704545454545454,0.6704545454545453,High
11-2011,3238,Plan and execute advertising policies and strategies for organizations.,3.81,0.6363636363636365,0.6363636363636365,Moderate
11-2011,3237,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",3.81,0.6363636363636365,0.6363636363636365,Moderate
11-2011,3223,Prepare budgets and submit estimates for program costs as part of campaign plan development.,3.67,0.47727272727272724,0.4772727272727273,Moderate
11-2011,3243,Contact organizations to explain services and facilities offered.,3.61,0.409090909090909,0.40909090909090895,Moderate
11-2011,3233,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,3.59,0.38636363636363624,0.38636363636363624,Moderate
11-2011,3229,"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.",3.55,0.3409090909090908,0.34090909090909083,Moderate
11-2011,3239,"Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms.",3.54,0.32954545454545464,0.3295454545454547,Low
11-2011,3234,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",3.25,0.0,0.0,Low
11-2021,951,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",4.3,1.0,1.0,High
11-2021,20709,"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",4.24,0.9482758620689659,0.9482758620689657,High
11-2021,952,"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",3.99,0.7327586206896555,0.7327586206896554,High
11-2021,950,"Develop pricing strategies, balancing firm objectives and customer satisfaction.",3.87,0.6293103448275864,0.6293103448275863,Moderate
11-2021,957,Compile lists describing product or service offerings.,3.7,0.48275862068965536,0.4827586206896552,Moderate
11-2021,954,"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.",3.66,0.44827586206896564,0.4482758620689658,Moderate
11-2021,956,"Consult with product development personnel on product specifications, such as design, color, or packaging.",3.65,0.43965517241379304,0.43965517241379315,Moderate
11-2021,958,"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",3.56,0.36206896551724144,0.3620689655172415,Moderate
11-2021,955,"Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.",3.53,0.336206896551724,0.3362068965517241,Moderate
11-2021,961,"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.",3.41,0.23275862068965525,0.2327586206896552,Low
11-2021,963,"Initiate market research studies, or analyze their findings.",3.4,0.22413793103448262,0.22413793103448257,Low
11-2021,960,"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",3.14,0.0,0.0,Low
11-2022,14,Oversee regional and local sales managers and their staffs.,4.65,1.0,1.0,High
11-2022,1,Resolve customer complaints regarding sales and service.,4.35,0.8181818181818178,0.8181818181818179,High
11-2022,2,Monitor customer preferences to determine focus of sales efforts.,4.29,0.7818181818181816,0.7818181818181819,High
11-2022,13,"Confer with potential customers regarding equipment needs, and advise customers on types of equipment to purchase.",4.24,0.7515151515151515,0.7515151515151514,High
11-2022,5,Review operational records and reports to project sales and determine profitability.,4.21,0.7333333333333332,0.7333333333333332,High
11-2022,11,"Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs.",4.19,0.7212121212121213,0.7212121212121212,High
11-2022,3,"Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate, or other subjects of sale.",4.0,0.606060606060606,0.6060606060606061,Moderate
11-2022,4,Determine price schedules and discount rates.,3.95,0.5757575757575757,0.5757575757575756,Moderate
11-2022,9,Prepare budgets and approve budget expenditures.,3.7,0.42424242424242425,0.42424242424242437,Moderate
11-2022,7,Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.,3.53,0.321212121212121,0.32121212121212117,Low
11-2022,12,Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.,3.5,0.303030303030303,0.3030303030303029,Low
11-2022,10,Represent company at trade association meetings to promote products.,3.33,0.2,0.1999999999999999,Low
11-2022,8,Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,3.25,0.1515151515151515,0.15151515151515146,Low
11-2022,6,"Direct, coordinate, and review sales and service accounting and record-keeping, as well as receiving and shipping.",3.06,0.03636363636363639,0.036363636363636286,Low
11-2022,15,"Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions.",3.0,0.0,0.0,Low
11-3021,968,"Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.",4.11,1.0,1.0,High
11-3021,975,"Meet with department heads, managers, supervisors, vendors, and others, to solicit cooperation and resolve problems.",4.1,0.9861111111111102,0.9861111111111102,High
11-3021,978,Review project plans to plan and coordinate project activity.,4.08,0.958333333333333,0.958333333333333,High
11-3021,969,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",4.04,0.9027777777777775,0.9027777777777776,High
11-3021,15198,Provide users with technical support for computer problems.,3.99,0.8333333333333333,0.8333333333333334,High
11-3021,971,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",3.94,0.7638888888888884,0.7638888888888885,High
11-3021,977,"Recruit, hire, train and supervise staff, or participate in staffing decisions.",3.88,0.680555555555555,0.6805555555555549,High
11-3021,970,Stay abreast of advances in technology.,3.88,0.680555555555555,0.6805555555555549,High
11-3021,967,"Consult with users, management, vendors, and technicians to assess computing needs and system requirements.",3.85,0.6388888888888886,0.6388888888888886,Moderate
11-3021,976,"Develop and interpret organizational goals, policies, and procedures.",3.7,0.4305555555555555,0.4305555555555556,Moderate
11-3021,973,"Evaluate the organization's technology use and needs and recommend improvements, such as hardware and software upgrades.",3.7,0.4305555555555555,0.4305555555555556,Moderate
11-3021,972,Review and approve all systems charts and programs prior to their implementation.,3.68,0.40277777777777773,0.40277777777777773,Moderate
11-3021,980,Prepare and review operational reports or project progress reports.,3.63,0.3333333333333329,0.3333333333333331,Moderate
11-3021,979,Evaluate data processing proposals to assess project feasibility and requirements.,3.59,0.27777777777777735,0.2777777777777772,Low
11-3021,974,Control operational budget and expenditures.,3.53,0.19444444444444395,0.1944444444444441,Low
11-3021,981,Purchase necessary equipment.,3.39,0.0,0.0,Low
11-3031,15678,Manage investment funds to maximize return on client investments.,4.81,1.0,1.0,High
11-3031,15679,Select specific investments or investment mixes for purchase by an investment fund.,4.61,0.8507462686567169,0.8507462686567169,High
11-3031,15669,Monitor financial or operational performance of individual investments to ensure portfolios meet risk goals.,4.56,0.8134328358208954,0.8134328358208954,High
11-3031,8870,Evaluate needs for procurement of funds and investment of surpluses and make appropriate recommendations.,4.52,0.7835820895522387,0.7835820895522386,High
11-3031,8858,"Delegate authority for the receipt, disbursement, banking, protection, and custody of funds, securities, and financial instruments.",4.48,0.7537313432835826,0.7537313432835826,High
11-3031,15676,Select or direct the execution of trades.,4.48,0.7537313432835826,0.7537313432835826,High
11-3031,15675,Develop or implement fund investment policies or strategies.,4.47,0.746268656716418,0.7462686567164178,High
11-3031,8864,"Develop and maintain relationships with banking, insurance, and external accounting personnel to facilitate financial activities.",4.44,0.7238805970149258,0.7238805970149259,High
11-3031,20168,"Monitor financial activities and details, such as cash flow and reserve levels, to ensure that all legal and regulatory requirements are met.",4.4,0.6940298507462691,0.694029850746269,High
11-3031,15667,"Perform or evaluate research, such as detailed company or industry analyses, to inform financial forecasting, decision making, or valuation.",4.38,0.6791044776119404,0.6791044776119403,High
11-3031,8861,"Receive, record, and authorize requests for disbursements in accordance with company policies and procedures.",4.33,0.6417910447761196,0.6417910447761197,Moderate
11-3031,21311,Establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter.,4.3,0.6194029850746269,0.6194029850746269,Moderate
11-3031,8866,"Develop internal control policies, guidelines, and procedures for activities, such as budget administration, cash and credit management, and accounting.",4.25,0.5820895522388061,0.582089552238806,Moderate
11-3031,15668,"Present investment information, such as product risks, fees, or fund performance statistics.",4.23,0.567164179104478,0.567164179104478,Moderate
11-3031,8865,"Coordinate and direct the financial planning, budgeting, procurement, or investment activities of all or part of an organization.",4.22,0.5597014925373134,0.5597014925373134,Moderate
11-3031,15664,"Develop, implement, or monitor security valuation policies.",4.22,0.5597014925373134,0.5597014925373134,Moderate
11-3031,15671,Meet with investors to determine investment goals or to discuss investment strategies.,4.22,0.5597014925373134,0.5597014925373134,Moderate
11-3031,21319,Oversee the flow of cash or financial instruments.,4.2,0.5447761194029853,0.5447761194029854,Moderate
11-3031,8872,Receive cash and checks and make deposits.,4.2,0.5447761194029853,0.5447761194029854,Moderate
11-3031,8856,"Prepare or direct preparation of financial statements, business activity reports, financial position forecasts, annual budgets, or reports required by regulatory agencies.",4.14,0.49999999999999983,0.4999999999999998,Moderate
11-3031,21312,"Plan, direct, or coordinate the activities of workers in branches, offices, or departments of establishments, such as branch banks, brokerage firms, risk and insurance departments, or credit departments.",4.13,0.4925373134328358,0.49253731343283563,Moderate
11-3031,8863,"Monitor and evaluate the performance of accounting and other financial staff, recommending and implementing personnel actions, such as promotions and dismissals.",4.09,0.46268656716417905,0.46268656716417916,Moderate
11-3031,8867,"Analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",4.08,0.455223880597015,0.455223880597015,Moderate
11-3031,8860,Conduct or coordinate audits of company accounts and financial transactions to ensure compliance with state and federal requirements and statutes.,4.06,0.44029850746268634,0.44029850746268634,Moderate
11-3031,15665,Attend investment briefings or consult financial media to stay abreast of relevant investment markets.,4.05,0.4328358208955223,0.43283582089552225,Moderate
11-3031,8868,"Advise management on short-term and long-term financial objectives, policies, and actions.",4.0,0.3955223880597015,0.3955223880597014,Moderate
11-3031,8859,"Maintain current knowledge of organizational policies and procedures, federal and state policies and directives, and current accounting standards.",4.0,0.3955223880597015,0.3955223880597014,Moderate
11-3031,15660,Prepare for and respond to regulatory inquiries.,3.99,0.3880597014925375,0.3880597014925375,Moderate
11-3031,8869,Provide direction and assistance to other organizational units regarding accounting and budgeting policies and procedures and efficient control and utilization of financial resources.,3.9,0.32089552238805963,0.32089552238805974,Low
11-3031,15674,"Evaluate the potential of new product developments or market opportunities, according to factors such as business plans, technologies, or market potential.",3.79,0.23880597014925373,0.2388059701492537,Low
11-3031,21313,Recruit staff members.,3.78,0.23134328358208936,0.23134328358208936,Low
11-3031,15662,Hire or evaluate staff.,3.76,0.21641791044776099,0.21641791044776112,Low
11-3031,15670,Monitor regulatory or tax law changes to ensure fund compliance or to capitalize on development opportunities.,3.72,0.18656716417910457,0.18656716417910463,Low
11-3031,8871,Lead staff training and development in budgeting and financial management areas.,3.71,0.1791044776119402,0.17910447761194007,Low
11-3031,21315,Evaluate data pertaining to costs to plan budgets.,3.61,0.10447761194029831,0.10447761194029838,Low
11-3031,15673,Develop or direct development of offering documents or marketing materials.,3.57,0.07462686567164156,0.07462686567164167,Low
11-3031,21316,Oversee training programs.,3.47,0.0,0.0,Low
11-3051,21162,Manage safety programs at power generation facilities.,4.63,1.0,1.0,High
11-3051,15405,Stop production if serious product defects are present.,4.61,0.9856115107913672,0.9856115107913672,High
11-3051,15471,Review biomass operations performance specifications to ensure compliance with regulatory requirements.,4.52,0.9208633093525177,0.9208633093525175,High
11-3051,15520,"Direct operations, maintenance, or repair of hydroelectric power facilities.",4.48,0.8920863309352521,0.892086330935252,High
11-3051,15454,"Supervise production employees in the manufacturing of biofuels, such as biodiesel or ethanol.",4.41,0.8417266187050361,0.8417266187050362,High
11-3051,15446,Supervise employees in geothermal power plants or well fields.,4.36,0.8057553956834534,0.8057553956834534,High
11-3051,15415,Review and update standard operating procedures or quality assurance manuals.,4.35,0.7985611510791365,0.7985611510791365,High
11-3051,15447,"Oversee geothermal plant operations, maintenance, and repairs to ensure compliance with applicable standards or regulations.",4.34,0.7913669064748201,0.79136690647482,High
11-3051,15430,Monitor performance of quality control systems to ensure effectiveness and efficiency.,4.33,0.7841726618705037,0.7841726618705035,High
11-3051,15462,"Manage operations at biofuels power generation facilities, including production, shipping, maintenance, or quality assurance activities.",4.32,0.7769784172661873,0.7769784172661873,High
11-3051,15450,"Provide direction to employees to ensure compliance with biofuels plant safety, environmental, or operational standards and regulations.",4.3,0.7625899280575539,0.7625899280575539,High
11-3051,15453,"Confer with technical and supervisory personnel to report or resolve conditions affecting biofuels plant safety, operational efficiency, and product quality.",4.29,0.7553956834532375,0.7553956834532376,High
11-3051,15456,"Review logs, datasheets, or reports to ensure adequate production levels or to identify abnormalities with biofuels production equipment or processes.",4.25,0.7266187050359713,0.7266187050359711,High
11-3051,15414,Review quality documentation necessary for regulatory submissions and inspections.,4.24,0.7194244604316549,0.7194244604316549,High
11-3051,15428,Analyze quality control test results and provide feedback and interpretation to production management or staff.,4.23,0.7122302158273385,0.7122302158273387,High
11-3051,15515,Identify and communicate power system emergencies.,4.23,0.7122302158273385,0.7122302158273387,High
11-3051,15413,"Verify that raw materials, purchased parts or components, in-process samples, and finished products meet established testing and inspection standards.",4.22,0.7050359712230214,0.7050359712230215,High
11-3051,15458,"Monitor meters, flow gauges, or other real-time data to ensure proper operation of biofuels production equipment, implementing corrective measures as needed.",4.22,0.7050359712230214,0.7050359712230215,High
11-3051,15461,"Adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels.",4.22,0.7050359712230214,0.7050359712230215,High
11-3051,15429,"Oversee workers including supervisors, inspectors, or laboratory workers engaged in testing activities.",4.2,0.6906474820143886,0.6906474820143887,High
11-3051,15431,Direct product testing activities throughout production cycles.,4.17,0.6690647482014388,0.6690647482014386,High
11-3051,15512,"Maintain records of hydroelectric facility operations, maintenance, or repairs.",4.16,0.6618705035971224,0.6618705035971223,High
11-3051,15470,"Review logs, datasheets, or reports to ensure adequate production levels and safe production environments or to identify abnormalities with power production equipment or processes.",4.14,0.647482014388489,0.647482014388489,Moderate
11-3051,15509,Perform or direct preventive or corrective containment or cleanup to protect the environment.,4.14,0.647482014388489,0.647482014388489,Moderate
11-3051,15513,"Monitor or inspect hydroelectric equipment, such as hydro-turbines, generators, or control systems.",4.14,0.647482014388489,0.647482014388489,Moderate
11-3051,15468,"Supervise operations or maintenance employees in the production of power from biomass, such as wood, coal, paper sludge, or other waste or refuse.",4.13,0.6402877697841726,0.6402877697841727,Moderate
11-3051,15514,"Inspect hydroelectric facilities, including switchyards, control houses, or relay houses, for normal operation or adherence to safety standards.",4.13,0.6402877697841726,0.6402877697841727,Moderate
11-3051,15519,Supervise or monitor hydroelectric facility operations to ensure that generation or mechanical equipment conform to applicable regulations or standards.,4.13,0.6402877697841726,0.6402877697841727,Moderate
11-3051,15478,"Supervise biomass plant or substation operations, maintenance, repair, or testing activities.",4.12,0.6330935251798562,0.6330935251798562,Moderate
11-3051,15421,Instruct staff in quality control and analytical procedures.,4.11,0.6258992805755398,0.6258992805755397,Moderate
11-3051,15424,"Direct the tracking of defects, test results, or other regularly reported quality control data.",4.1,0.6187050359712227,0.6187050359712227,Moderate
11-3051,15434,Communicate geothermal plant conditions to employees.,4.09,0.6115107913669063,0.6115107913669062,Moderate
11-3051,15508,Plan or coordinate hydroelectric production operations to meet customer requirements.,4.09,0.6115107913669063,0.6115107913669062,Moderate
11-3051,15417,Participate in the development of product specifications.,4.08,0.60431654676259,0.60431654676259,Moderate
11-3051,15518,"Check hydroelectric operations for compliance with prescribed operating limits, such as loads, voltages, temperatures, lines, or equipment.",4.07,0.5971223021582736,0.5971223021582737,Moderate
11-3051,15420,Identify quality problems or areas for improvement and recommend solutions.,4.04,0.5755395683453237,0.5755395683453238,Moderate
11-3051,15449,Provide training to subordinate or new employees to improve biofuels plant safety or increase the production of biofuels.,4.04,0.5755395683453237,0.5755395683453238,Moderate
11-3051,15411,Collect and analyze production samples to evaluate quality.,4.02,0.5611510791366903,0.5611510791366902,Moderate
11-3051,39,"Set and monitor product standards, examining samples of raw products or directing testing during processing, to ensure finished products are of prescribed quality.",4.01,0.5539568345323739,0.5539568345323737,Moderate
11-3051,15443,"Identify and evaluate equipment, procedural, or conditional inefficiencies involving geothermal plant systems.",4.01,0.5539568345323739,0.5539568345323737,Moderate
11-3051,32,"Direct or coordinate production, processing, distribution, or marketing activities of industrial organizations.",4.0,0.5467625899280575,0.5467625899280574,Moderate
11-3051,15439,Perform or direct the performance of preventative maintenance on geothermal plant equipment.,4.0,0.5467625899280575,0.5467625899280574,Moderate
11-3051,15455,"Shut down and restart biofuels plant or equipment in emergency situations or for equipment maintenance, repairs, or replacements.",4.0,0.5467625899280575,0.5467625899280574,Moderate
11-3051,34,"Review processing schedules or production orders to make decisions concerning inventory requirements, staffing requirements, work procedures, or duty assignments, considering budgetary limitations and time constraints.",3.99,0.5395683453237411,0.5395683453237411,Moderate
11-3051,15451,Monitor transportation and storage of flammable or other potentially dangerous feedstocks or products to ensure adherence to safety guidelines.,3.98,0.5323741007194244,0.5323741007194241,Moderate
11-3051,15448,Inspect geothermal plant or injection well fields to verify proper equipment operations.,3.95,0.5107913669064749,0.5107913669064748,Moderate
11-3051,15416,"Produce reports regarding nonconformance of products or processes, daily production quality, root cause analyses, or quality trends.",3.93,0.4964028776978418,0.49640287769784175,Moderate
11-3051,15445,Develop or manage budgets for geothermal operations.,3.93,0.4964028776978418,0.49640287769784175,Moderate
11-3051,15452,Draw samples of biofuels products or secondary by-products for quality control testing.,3.93,0.4964028776978418,0.49640287769784175,Moderate
11-3051,15427,"Communicate quality control information to all relevant organizational departments, outside vendors, or contractors.",3.92,0.4892086330935251,0.489208633093525,Moderate
11-3051,15433,Select and implement corrosion control or mitigation systems for geothermal plants.,3.91,0.4820143884892087,0.4820143884892088,Moderate
11-3051,15444,Develop operating plans and schedules for geothermal operations.,3.89,0.4676258992805756,0.4676258992805756,Moderate
11-3051,15504,"Develop or implement projects to improve efficiency, economy, or effectiveness of hydroelectric plant operations.",3.88,0.46043165467625885,0.46043165467625885,Moderate
11-3051,15480,"Conduct field inspections of biomass plants, stations, or substations to ensure normal and safe operating conditions.",3.87,0.45323741007194246,0.45323741007194257,Moderate
11-3051,35,Review operations and confer with technical or administrative staff to resolve production or processing problems.,3.85,0.43884892086330934,0.4388489208633094,Moderate
11-3051,36,"Hire, train, evaluate, or discharge staff or resolve personnel grievances.",3.85,0.43884892086330934,0.4388489208633094,Moderate
11-3051,15418,Monitor development of new products to help identify possible problems for mass production.,3.85,0.43884892086330934,0.4388489208633094,Moderate
11-3051,15436,"Record, review, or maintain daily logs, reports, maintenance, and other records associated with geothermal operations.",3.85,0.43884892086330934,0.4388489208633094,Moderate
11-3051,15422,Identify critical points in the manufacturing process and specify sampling procedures to be used at these points.,3.84,0.4316546762589927,0.4316546762589927,Moderate
11-3051,15474,"Plan and schedule plant activities, such as wood, waste, or refuse fuel deliveries, ash removal, and regular maintenance.",3.82,0.41726618705035956,0.4172661870503595,Moderate
11-3051,15503,Provide technical direction in the erection or commissioning of hydroelectric equipment or supporting electrical or mechanical systems.,3.81,0.41007194244604317,0.4100719424460432,Moderate
11-3051,15505,"Supervise hydropower plant equipment installations, upgrades, or maintenance.",3.81,0.41007194244604317,0.4100719424460432,Moderate
11-3051,40,"Develop or implement production tracking or quality control systems, analyzing production, quality control, maintenance, or other operational reports to detect production problems.",3.8,0.40287769784172645,0.4028776978417263,Moderate
11-3051,15473,Prepare and manage biomass plant budgets.,3.79,0.39568345323741005,0.39568345323741,Moderate
11-3051,15507,Plan or manage hydroelectric plant upgrades.,3.79,0.39568345323741005,0.39568345323741,Moderate
11-3051,15425,Create and implement inspection and testing criteria or procedures.,3.78,0.38848920863309333,0.38848920863309333,Moderate
11-3051,15423,"Document testing procedures, methodologies, or criteria.",3.78,0.38848920863309333,0.38848920863309333,Moderate
11-3051,15441,"Monitor geothermal operations, using programmable logic controllers.",3.77,0.38129496402877694,0.38129496402877683,Moderate
11-3051,15432,Conduct well field site assessments.,3.77,0.38129496402877694,0.38129496402877683,Moderate
11-3051,38,Prepare and maintain production reports or personnel records.,3.72,0.3453237410071943,0.3453237410071944,Moderate
11-3051,15460,"Approve proposals for the acquisition, replacement, or repair of biofuels processing equipment or the implementation of new production processes.",3.72,0.3453237410071943,0.3453237410071944,Moderate
11-3051,15442,"Identify opportunities to improve plant electrical equipment, controls, or process control methodologies.",3.67,0.30935251798561136,0.30935251798561125,Low
11-3051,15407,"Review statistical studies, technological advances, or regulatory standards and trends to stay abreast of issues in the field of quality control.",3.63,0.28057553956834513,0.2805755395683451,Low
11-3051,15506,"Respond to problems related to ratepayers, water users, power users, government agencies, educational institutions, or other private or public power resource interests.",3.62,0.27338129496402874,0.2733812949640288,Low
11-3051,15410,"Coordinate the selection and implementation of quality control equipment, such as inspection gauges.",3.61,0.2661870503597121,0.2661870503597121,Low
